Wall time,Step,Value
1554411027.5665998,4000,-0.06463134288787842
1554411042.1004372,8000,-0.04158651828765869
1554411054.814295,12000,-0.04156884923577309
1554411067.6461475,16000,-0.04156884923577309
1554411079.3835092,20000,-0.04156884923577309
1554411091.6168735,24000,-0.03851352259516716
1554411102.0212858,28000,-0.03851352259516716
1554411112.3855934,32000,-0.03851352259516716
1554411122.9503715,36000,-0.03851352259516716
1554411133.3398528,40000,-0.03851352259516716
1554411145.0019612,44000,-0.03851352259516716
1554411155.8662143,48000,-0.03851352259516716
1554411167.4542377,52000,-0.03851352259516716
1554411177.73656,56000,-0.03851352259516716
1554411188.9589763,60000,-0.03851352259516716
1554411199.2819002,64000,-0.03851352259516716
1554411209.5796902,68000,-0.03851352259516716
1554411221.147315,72000,-0.03851352259516716
1554411232.7137265,76000,-0.03851352259516716
1554411243.3600168,80000,-0.03851352259516716
1554411253.6913812,84000,-0.03851352259516716
1554411264.9471676,88000,-0.03851352259516716
1554411276.4397697,92000,-0.03851352259516716
1554411286.771175,96000,-0.03851352259516716
1554411297.089617,100000,-0.03851352259516716
1554411308.1729026,104000,-0.03851352259516716
1554411318.4667492,108000,-0.03851352259516716
1554411328.7748427,112000,-0.03851352259516716
1554411340.1400447,116000,-0.03851352259516716
1554411350.4434774,120000,-0.038444604724645615
1554411360.7872055,124000,-0.038444604724645615
1554411373.5474205,128000,-0.038444604724645615
1554411386.2268593,132000,-0.038444604724645615
1554411398.7409222,136000,-0.038444604724645615
1554411411.2678838,140000,-0.038444604724645615
1554411423.8225718,144000,-0.038444604724645615
1554411436.3313982,148000,-0.038444604724645615
1554411448.820173,152000,-0.038444604724645615
1554411461.374638,156000,-0.038444604724645615
1554411473.9873466,160000,-0.038444604724645615
1554411485.6091592,164000,-0.038444604724645615
1554411495.9517355,168000,-0.038444604724645615
1554411506.2536752,172000,-0.037916604429483414
1554411516.860678,176000,-0.037916604429483414
1554411527.173644,180000,-0.037916604429483414
1554411537.4734359,184000,-0.037916604429483414
1554411548.2542388,188000,-0.037916604429483414
1554411558.5647948,192000,-0.03508681803941727
1554411568.860309,196000,-0.03508681803941727
1554411579.7481575,200000,-0.01901533640921116
1554411590.0223212,204000,-0.01901533640921116
1554411601.2810428,208000,-0.01901533640921116
1554411612.5229018,212000,-0.01901533640921116
1554411622.7727365,216000,-0.01901533640921116
1554411633.0422952,220000,-0.01901533640921116
1554411644.5230598,224000,-0.01901533640921116
1554411654.801637,228000,-0.01901533640921116
1554411665.2515752,232000,-0.01901533640921116
1554411675.5523024,236000,-0.01901533640921116
1554411685.870985,240000,-0.01901533640921116
1554411696.4263625,244000,-0.01901533640921116
1554411706.7213113,248000,-0.01901533640921116
1554411717.0310225,252000,-0.01901533640921116
1554411727.712321,256000,-0.01901533640921116
1554411738.0182915,260000,-0.01901533640921116
1554411748.2920825,264000,-0.01901533640921116
1554411759.1252239,268000,-0.01901533640921116
1554411769.3899922,272000,-0.01901533640921116
1554411779.7329938,276000,-0.01901533640921116
1554411791.4496248,280000,-0.01901533640921116
1554411804.3931215,284000,-0.01901533640921116
1554411816.4788122,288000,-0.01901533640921116
1554411826.8979695,292000,-0.01901533640921116
1554411837.1031017,296000,-0.01901533640921116
1554411847.3916101,300000,-0.01901533640921116
1554411857.558243,304000,-0.01901533640921116
1554411867.7249022,308000,-0.01901533640921116
1554411878.1508887,312000,-0.01105632446706295
1554411888.3482766,316000,-0.01105632446706295
1554411898.5915947,320000,-0.01105632446706295
1554411909.0697703,324000,-0.01105632446706295
1554411919.2534037,328000,-0.008514746092259884
1554411929.4260337,332000,-0.008514746092259884
1554411939.935554,336000,-0.008514746092259884
1554411950.1119163,340000,-0.008514746092259884
1554411960.2966638,344000,-0.008514746092259884
1554411970.582135,348000,-0.008514746092259884
1554411980.7821372,352000,-0.008514746092259884
1554411991.1110303,356000,-0.008514746092259884
1554412001.5035365,360000,-0.008514746092259884
1554412011.6585267,364000,-0.008514746092259884
1554412021.8312857,368000,-0.008514746092259884
1554412032.978915,372000,-0.008514746092259884
1554412043.2201352,376000,-0.008514746092259884
1554412053.4292486,380000,-0.008514746092259884
1554412063.724102,384000,-0.008514746092259884
1554412073.905622,388000,-0.008514746092259884
1554412084.1339753,392000,-0.008514746092259884
1554412094.3301597,396000,-0.008514746092259884
1554412105.7225065,400000,-0.008514746092259884
1554412117.4223418,404000,-0.008514746092259884
1554412127.913772,408000,-0.008514746092259884
1554412138.3938403,412000,-0.008514746092259884
1554412149.4134228,416000,-0.008514746092259884
1554412159.8912175,420000,-0.008514746092259884
1554412170.3763428,424000,-0.008514746092259884
1554412181.668157,428000,-0.005187874659895897
1554412192.1530633,432000,-0.005187874659895897
1554412203.9002547,436000,-0.005187874659895897
1554412214.5757966,440000,-0.005187874659895897
1554412225.1941617,444000,-0.005187874659895897
1554412235.9594526,448000,0.008586231619119644
1554412246.50657,452000,0.008586231619119644
1554412257.0473301,456000,0.008586231619119644
1554412267.9848711,460000,0.008586231619119644
1554412278.5322804,464000,0.008586231619119644
1554412289.0518682,468000,0.008586231619119644
1554412300.1830573,472000,0.008586231619119644
1554412310.7323914,476000,0.008586231619119644
1554412321.2283103,480000,0.008586231619119644
1554412332.6659193,484000,0.008586231619119644
1554412343.2277212,488000,0.008586231619119644
1554412353.7463872,492000,0.008586231619119644
1554412365.4825442,496000,0.008586231619119644
1554412376.0077744,500000,0.008586231619119644
1554412387.7974827,504000,0.008586231619119644
1554412399.6116688,508000,0.008586231619119644
1554412410.1053088,512000,0.008586231619119644
1554412421.350907,516000,0.008586231619119644
1554412431.825105,520000,0.008586231619119644
1554412442.336432,524000,0.008586231619119644
1554412453.9177003,528000,0.008586231619119644
1554412464.448803,532000,0.008586231619119644
1554412475.0367925,536000,0.008586231619119644
1554412485.52423,540000,0.008586231619119644
1554412496.0276887,544000,0.008586231619119644
1554412506.817563,548000,0.008586231619119644
1554412517.3225417,552000,0.018947992473840714
1554412527.8185854,556000,0.018947992473840714
1554412538.7854185,560000,0.018947992473840714
1554412549.3662088,564000,0.018947992473840714
1554412559.8693724,568000,0.018947992473840714
1554412571.074696,572000,0.018947992473840714
1554412581.5878024,576000,0.018947992473840714
1554412592.0978682,580000,0.018947992473840714
1554412603.653731,584000,0.018947992473840714
1554412614.191676,588000,0.018947992473840714
1554412624.7459836,592000,0.018947992473840714
1554412636.6118765,596000,0.018947992473840714
1554412647.6202672,600000,0.018947992473840714
1554412658.0237198,604000,0.018947992473840714
1554412668.371052,608000,0.018947992473840714
1554412679.394625,612000,0.018947992473840714
1554412691.4264166,616000,0.018947992473840714
1554412703.6695426,620000,0.018947992473840714
1554412716.0067031,624000,0.018947992473840714
1554412727.7841837,628000,0.018947992473840714
1554412740.1259055,632000,0.018947992473840714
1554412752.0671992,636000,0.018947992473840714
1554412762.5949056,640000,0.018947992473840714
1554412773.8300433,644000,0.018947992473840714
1554412785.5785155,648000,0.018947992473840714
1554412797.2771864,652000,0.018947992473840714
1554412808.2560225,656000,0.018947992473840714
1554412820.1702578,660000,0.018947992473840714
1554412830.6951542,664000,0.018947992473840714
1554412842.377314,668000,0.018947992473840714
1554412854.1470609,672000,0.018947992473840714
1554412866.6458752,676000,0.013082141987979412
1554412878.3833115,680000,0.013082141987979412
1554412890.750817,684000,0.013082141987979412
1554412902.4303746,688000,0.013082141987979412
1554412913.5076385,692000,0.013082141987979412
1554412925.6010273,696000,0.013082141987979412
