Date,Coin,Marketcap / Telegram hype,Marketcap / Twitter hype,Volume 24h $,Market Cap,Price +/- 1h $,Price +/-  1h BTC,Price +/- 24h $,Price +/- BTC,Price +/- 7d $,Price +/- 7d  BTC,Price $,Price BTC,Liquidity,CVIX 30d,Sharpe Ratio 30d,Buy market 24h,Price BNB,Price EOS,Price ETH,Price XRP,Telegram Hype,Telegram Mood (average value by one message),Telegram Mood (total value for all messages),Twitter Hype 24h,Wikipedia views 30d,SMA_USD,SMA_BTC,MOM_USD,MOM_BTC,CMO_USD,CMO_BTC,PPO_USD,PPO_BTC,ROC_USD,ROC_BTC,RSI_USD,RSI_BTC,STOCHRSI_USD_K,STOCHRSI_USD_D,STOCHRSI_BTC_K,STOCHRSI_BTC_D,macd_USD,macdsignal_USD,macdhist_USD,macd_BTC,macdsignal_BTC,macdhist_BTC
2018-11-01 00:00:00+00:00,LTC,3.384845978913,0.08893205178191885,321795667.03,2966560893,-0.07,0.05970816326530609,1.56,0.7989897959183673,-3.69,5.078501020408162,50.2969954692,0.007887229180517902,10.847431710885159,5.439226677246168,-1.840897707719079,57.01635304689575,5.273474313859572,9.526992703704826,0.25318125228943417,110.38093589175375,0.0876424189307625,0.0,0,26765.303278688523,12114,35.88236573814728,0.009279526727519645,0.6731634057387089,0.0007294697212768919,1.1816315403348905,16.9234152492361,1.0054040568639058,3.426865720419404,2.6804372408180814,5.174352611981301,50.59081577016745,58.46170762461805,55.76439663710392,55.33699294460235,53.310535308164056,53.0931018965575,0.42178275802699355,-0.00026159420281649475,0.42204435222981085,0.00033623338954972236,0.0002988969469586876,3.733644259103477e-05
2018-11-02 00:00:00+00:00,LTC,0.6911468578686,0.08893205178191885,362196510.93,3028689123,0.17,0.05970816326530609,1.9,0.7989897959183673,-1.54,5.078501020408162,51.3381718468,0.008043987826568568,11.958854019696627,5.353708587841723,-1.2695815587107786,51.45811484068767,5.3605788064800075,9.59088516431066,0.2558276793524719,111.95761604678493,0.43821209465381245,0.0,0,26765.303278688523,12172,35.88236573814728,0.009279526727519645,0.6731634057387089,0.0007294697212768919,1.1816315403348905,16.9234152492361,1.0054040568639058,3.426865720419404,2.6804372408180814,5.174352611981301,50.59081577016745,58.46170762461805,55.76439663710392,55.33699294460235,53.310535308164056,53.0931018965575,0.42178275802699355,-0.00026159420281649475,0.42204435222981085,0.00033623338954972236,0.0002988969469586876,3.733644259103477e-05
2018-11-03 00:00:00+00:00,LTC,1.7184161971724998,0.08893205178191885,325950353.079,3012123045,-0.07,0.05970816326530609,-0.42,0.7989897959183673,-1.69,5.078501020408162,51.0454043762,0.008026371471526485,10.821282803173135,5.1864339306334815,-1.4954472081625405,49.33544853240514,5.353207662944352,9.606211286875174,0.25506207867646935,112.0170179518306,0.175284837861525,0.0,0,26765.303278688523,12205,35.88236573814728,0.009279526727519645,0.6731634057387089,0.0007294697212768919,1.1816315403348905,16.9234152492361,1.0054040568639058,3.426865720419404,2.6804372408180814,5.174352611981301,50.59081577016745,58.46170762461805,55.76439663710392,55.33699294460235,53.310535308164056,53.0931018965575,0.42178275802699355,-0.00026159420281649475,0.42204435222981085,0.00033623338954972236,0.0002988969469586876,3.733644259103477e-05
2018-11-04 00:00:00+00:00,LTC,0.52029588753,0.08893205178191885,445199903.856,3191999310,0.68,0.05970816326530609,6.03,0.7989897959183673,4.42,5.078501020408162,54.0800724583,0.008532578835923661,13.947368423961219,4.975762811459767,-0.9814183635055163,52.88817000749295,5.559558523362946,9.918760875407857,0.25903282908750525,115.88669687690663,0.6134969325153374,11.428571428571429,160,26765.303278688523,12153,35.88236573814728,0.009279526727519645,0.6731634057387089,0.0007294697212768919,1.1816315403348905,16.9234152492361,1.0054040568639058,3.426865720419404,2.6804372408180814,5.174352611981301,50.59081577016745,58.46170762461805,55.76439663710392,55.33699294460235,53.310535308164056,53.0931018965575,0.42178275802699355,-0.00026159420281649475,0.42204435222981085,0.00033623338954972236,0.0002988969469586876,3.733644259103477e-05
2018-11-05 00:00:00+00:00,LTC,7.225059551359999,0.08893205178191885,398747664.249,3166108480,0.61,0.05970816326530609,-0.43,0.7989897959183673,9.36,5.078501020408162,53.627454098,0.008343780851563697,12.594251484680651,4.678091828111472,-0.902563998722241,51.831860092705895,5.527371095901005,9.786386470678062,0.2568901500633774,108.36596722779782,0.04382120946538125,-85.0,-85,26765.303278688523,12086,35.88236573814728,0.009279526727519645,0.6731634057387089,0.0007294697212768919,1.1816315403348905,16.9234152492361,1.0054040568639058,3.426865720419404,2.6804372408180814,5.174352611981301,50.59081577016745,58.46170762461805,55.76439663710392,55.33699294460235,53.310535308164056,53.0931018965575,0.42178275802699355,-0.00026159420281649475,0.42204435222981085,0.00033623338954972236,0.0002988969469586876,3.733644259103477e-05
2018-11-06 00:00:00+00:00,LTC,1.4980740463556,0.08893205178191885,367641994.937,3282370829,0.4,0.05970816326530609,3.7800000000000002,0.7989897959183673,12.98,5.078501020408162,55.5834512076,0.008620242979405269,11.20050153044423,4.418098956959769,-0.49973520763567864,52.986270348567686,5.70000880912018,9.724072151801666,0.25507512477595473,101.73265511867332,0.21910604732690622,0.0,0,26765.303278688523,12004,35.88236573814728,0.009279526727519645,0.6731634057387089,0.0007294697212768919,1.1816315403348905,16.9234152492361,1.0054040568639058,3.426865720419404,2.6804372408180814,5.174352611981301,50.59081577016745,58.46170762461805,55.76439663710392,55.33699294460235,53.310535308164056,53.0931018965575,0.42178275802699355,-0.00026159420281649475,0.42204435222981085,0.00033623338954972236,0.0002988969469586876,3.733644259103477e-05
2018-11-07 00:00:00+00:00,LTC,1.4565771761828,0.08893205178191885,386013621.387,3191448677,-0.3,0.05970816326530609,-2.7800000000000002,0.7989897959183673,8.78,5.078501020408162,54.0363558263,0.008283231021902112,12.095247658811092,4.10082019845643,-1.1605856861243597,51.92911792098801,5.519190447950696,9.57240434146958,0.2487918561921876,101.02470993392177,0.21910604732690622,0.0,0,26765.303278688523,12111,35.88236573814728,0.009279526727519645,0.6731634057387089,0.0007294697212768919,1.1816315403348905,16.9234152492361,1.0054040568639058,3.426865720419404,2.6804372408180814,5.174352611981301,50.59081577016745,58.46170762461805,55.76439663710392,55.33699294460235,53.310535308164056,53.0931018965575,0.42178275802699355,-0.00026159420281649475,0.42204435222981085,0.00033623338954972236,0.0002988969469586876,3.733644259103477e-05
2018-11-08 00:00:00+00:00,LTC,2.3543410902013338,0.08893205178191885,351551786.401,3095102222,-0.95,0.05970816326530609,-3.37,0.7989897959183673,3.86,5.078501020408162,52.3920819021,0.008116767875758605,11.358325547446169,3.5252155498841566,-1.4990324231471253,48.710839726493745,5.44492938669949,9.513919767685168,0.2465796582488589,106.35766239173499,0.13146362839614373,-15.0,-45,26765.303278688523,12211,35.88236573814728,0.009279526727519645,0.6731634057387089,0.0007294697212768919,1.1816315403348905,16.9234152492361,1.0054040568639058,3.426865720419404,2.6804372408180814,5.174352611981301,50.59081577016745,58.46170762461805,55.76439663710392,55.33699294460235,53.310535308164056,53.0931018965575,0.42178275802699355,-0.00026159420281649475,0.42204435222981085,0.00033623338954972236,0.0002988969469586876,3.733644259103477e-05
2018-11-09 00:00:00+00:00,LTC,1.1662152081183335,0.08893205178191885,386349537.143,3066297655,0.15,0.05970816326530609,-1.3,0.7989897959183673,1.18,5.078501020408162,51.8925267383,0.008123417619432001,12.599870613115673,3.0199262626667536,-1.6117521597047308,48.62198512636701,5.430581542803762,9.64003929134911,0.24704920390689983,103.70087555601808,0.26292725679228746,0.0,0,26765.303278688523,12179,35.88236573814728,0.009279526727519645,0.6731634057387089,0.0007294697212768919,1.1816315403348905,16.9234152492361,1.0054040568639058,3.426865720419404,2.6804372408180814,5.174352611981301,50.59081577016745,58.46170762461805,55.76439663710392,55.33699294460235,53.310535308164056,53.0931018965575,0.42178275802699355,-0.00026159420281649475,0.42204435222981085,0.00033623338954972236,0.0002988969469586876,3.733644259103477e-05
2018-11-10 00:00:00+00:00,LTC,7.029381844044,0.08893205178191885,320342255.194,3080360142,-0.5,0.05970816326530609,0.35,0.7989897959183673,2.14,5.078501020408162,52.1179666892,0.008143947288994048,10.39950656503463,2.9042500631296773,0.07055027793578215,52.21667019579792,5.478426174376719,9.65490668399338,0.24611980630802824,103.27819798472736,0.04382120946538125,0.0,0,26765.303278688523,12156,35.88236573814728,0.009279526727519645,0.6731634057387089,0.0007294697212768919,1.1816315403348905,16.9234152492361,1.0054040568639058,3.426865720419404,2.6804372408180814,5.174352611981301,50.59081577016745,58.46170762461805,55.76439663710392,55.33699294460235,53.310535308164056,53.0931018965575,0.42178275802699355,-0.00026159420281649475,0.42204435222981085,0.00033623338954972236,0.0002988969469586876,3.733644259103477e-05
